Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group
AIANHH,American Indian Area/Alaska Native Area/Hawaiian Home Land,,not required,,0,(not a predicate),N/A
AIHHTLI,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land,,not required,,0,(not a predicate),N/A
AITSCE,American Indian Tribal Subdivision (Census),,not required,,0,(not a predicate),N/A
ANRC,Alaska Native Regional Corporation,,not required,,0,(not a predicate),N/A
CBSA,Metropolitan Statistical Area/Micropolitan Statistical Area,,not required,,0,(not a predicate),N/A
CD111,Congressional District (111th),,not required,,0,(not a predicate),N/A
CNECTA,Combined New England City and Town Area,,not required,,0,(not a predicate),N/A
CONCIT,Consolidated City,,not required,,0,(not a predicate),N/A
COUNTY,County (FIPS),,not required,,0,(not a predicate),N/A
COUSUB,County Subdivision (FIPS),,not required,,0,(not a predicate),N/A
CSA,Combined Statistical Area,,not required,,0,(not a predicate),N/A
DIVISION,Census Division,,not required,,0,(not a predicate),N/A
DP02_0001E,Estimate!!HOUSEHOLDS BY TYPE!!Total households,,not required,"DP02_0001M, DP02_0001MA, DP02_0001EA",0,(not a predicate),DP02
DP02_0001PE,Percent!!HOUSEHOLDS BY TYPE!!Total households,,not required,"DP02_0001PM, DP02_0001PMA, DP02_0001PEA",0,int,DP02
DP02_0002E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families),,not required,"DP02_0002M, DP02_0002MA, DP02_0002EA",0,int,DP02
DP02_0002PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families),,not required,"DP02_0002PM, DP02_0002PMA, DP02_0002PEA",0,float,DP02
DP02_0003E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,,not required,"DP02_0003M, DP02_0003MA, DP02_0003EA",0,int,DP02
DP02_0003PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,,not required,"DP02_0003PM, DP02_0003PMA, DP02_0003PEA",0,float,DP02
DP02_0004E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,,not required,"DP02_0004M, DP02_0004MA, DP02_0004EA",0,int,DP02
DP02_0004PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,,not required,"DP02_0004PM, DP02_0004PMA, DP02_0004PEA",0,float,DP02
DP02_0005E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,,not required,"DP02_0005M, DP02_0005MA, DP02_0005EA",0,int,DP02
DP02_0005PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,,not required,"DP02_0005PM, DP02_0005PMA, DP02_0005PEA",0,float,DP02
DP02_0006E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family",,not required,"DP02_0006M, DP02_0006MA, DP02_0006EA",0,int,DP02
DP02_0006PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family",,not required,"DP02_0006PM, DP02_0006PMA, DP02_0006PEA",0,float,DP02
DP02_0007E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years",,not required,"DP02_0007M, DP02_0007MA, DP02_0007EA",0,int,DP02
DP02_0007PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years",,not required,"DP02_0007PM, DP02_0007PMA, DP02_0007PEA",0,float,DP02
DP02_0008E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family",,not required,"DP02_0008M, DP02_0008MA, DP02_0008EA",0,int,DP02
DP02_0008PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family",,not required,"DP02_0008PM, DP02_0008PMA, DP02_0008PEA",0,float,DP02
DP02_0009E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years",,not required,"DP02_0009M, DP02_0009MA, DP02_0009EA",0,int,DP02
DP02_0009PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years",,not required,"DP02_0009PM, DP02_0009PMA, DP02_0009PEA",0,float,DP02
DP02_0010E,Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households,,not required,"DP02_0010M, DP02_0010MA, DP02_0010EA",0,int,DP02
DP02_0010PE,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households,,not required,"DP02_0010PM, DP02_0010PMA, DP02_0010PEA",0,float,DP02
DP02_0011E,Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone,,not required,"DP02_0011M, DP02_0011MA, DP02_0011EA",0,int,DP02
DP02_0011PE,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone,,not required,"DP02_0011PM, DP02_0011PMA, DP02_0011PEA",0,float,DP02
DP02_0012E,Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over,,not required,"DP02_0012M, DP02_0012MA, DP02_0012EA",0,int,DP02
