,city,population,property,state,violent,year
0,Andalusia2,8946.0,,ALABAMA,24.0,2010
1,Anniston2,23703.0,2038.0,ALABAMA,,2010
2,Clanton2,9109.0,,ALABAMA,47.0,2010
3,Daleville2,4561.0,,ALABAMA,17.0,2010
4,Enterprise3,26649.0,,ALABAMA,124.0,2010
5,Eufaula2,14709.0,,ALABAMA,19.0,2010
6,Florence2,38643.0,,ALABAMA,,2010
7,Guntersville2,8775.0,,ALABAMA,34.0,2010
8,Jasper2,14138.0,,ALABAMA,72.0,2010
9,Montevallo2,6657.0,,ALABAMA,15.0,2010
10,Moody2,14726.0,,ALABAMA,2.0,2010
11,Orange Beach2,6575.0,,ALABAMA,6.0,2010
12,Oxford2,21171.0,1242.0,ALABAMA,,2010
13,Reform2,1751.0,,ALABAMA,13.0,2010
14,Riverside3,2146.0,,ALABAMA,4.0,2010
15,Troy3,15395.0,,ALABAMA,,2010
16,Tuscumbia3,8490.0,,ALABAMA,,2010
17,Winfield2,4573.0,,ALABAMA,13.0,2010
18,Wasilla6,11471.0,326.0,ALASKA,,2010
19,Tucson6,527107.0,,ARIZONA,3331.0,2010
20,Rogers3,61417.0,,ARKANSAS,219.0,2010
21,Thornton6,119989.0,3625.0,COLORADO,,2010
22,McCaysville3,957.0,,GEORGIA,2.0,2010
23,Chicago7,2833649.0,120045.0,ILLINOIS5,,2010
24,Shelbyville2,18797.0,,INDIANA,8.0,2010
25,Muscatine2,22866.0,,IOWA,114.0,2010
26,Gonzales6,9738.0,,LOUISIANA,9.0,2010
27,Baltimore City Sheriff,,0.0,MARYLAND,0.0,2010
28,Billerica6,39519.0,592.0,MASSACHUSETTS,,2010
29,Hanson6,10091.0,134.0,MASSACHUSETTS,,2010
30,North Brookfield6,5034.0,55.0,MASSACHUSETTS,,2010
31,Plymouth6,56751.0,1115.0,MASSACHUSETTS,,2010
32,Shrewsbury6,33796.0,316.0,MASSACHUSETTS,,2010
33,Yarmouth6,23498.0,813.0,MASSACHUSETTS,,2010
34,Albany,2239.0,26.0,MINNESOTA7,,2010
35,Albert Lea,17304.0,410.0,MINNESOTA7,,2010
36,Alexandria,12003.0,363.0,MINNESOTA7,,2010
37,Annandale,3212.0,125.0,MINNESOTA7,,2010
38,Anoka,17323.0,748.0,MINNESOTA7,,2010
39,Appleton,2971.0,49.0,MINNESOTA7,,2010
40,Apple Valley,50579.0,1511.0,MINNESOTA7,,2010
41,Arden Hills,9860.0,151.0,MINNESOTA7,,2010
42,Aurora,1745.0,0.0,MINNESOTA7,,2010
43,Austin,22929.0,763.0,MINNESOTA7,,2010
44,Avon,1342.0,3.0,MINNESOTA7,,2010
45,Babbitt,1579.0,0.0,MINNESOTA7,,2010
46,Baxter,8748.0,297.0,MINNESOTA7,,2010
47,Bayport,3335.0,37.0,MINNESOTA7,,2010
48,Becker,4387.0,28.0,MINNESOTA7,,2010
49,Belgrade,720.0,0.0,MINNESOTA7,,2010
50,Belle Plaine,7244.0,160.0,MINNESOTA7,,2010
51,Bemidji,13911.0,982.0,MINNESOTA7,,2010
52,Benson,2930.0,61.0,MINNESOTA7,,2010
53,Big Lake,10240.0,188.0,MINNESOTA7,,2010
54,Blackduck,790.0,43.0,MINNESOTA7,,2010
55,Blaine,57561.0,1953.0,MINNESOTA7,,2010
56,Bloomington,82715.0,3175.0,MINNESOTA7,,2010
57,Blue Earth,3183.0,42.0,MINNESOTA7,,2010
58,Brainerd,13779.0,558.0,MINNESOTA7,,2010
59,Breckenridge,3151.0,49.0,MINNESOTA7,,2010
60,Brooklyn Center,27378.0,1363.0,MINNESOTA7,,2010
61,Browns Valley,579.0,0.0,MINNESOTA7,,2010
62,Brownton,777.0,4.0,MINNESOTA7,,2010
63,Buffalo,14881.0,383.0,MINNESOTA7,,2010
64,Burnsville,59028.0,0.0,MINNESOTA7,,2010
65,Cambridge,7986.0,264.0,MINNESOTA7,,2010
66,Cannon Falls,4050.0,200.0,MINNESOTA7,,2010
67,Centennial Lakes,11423.0,136.0,MINNESOTA7,,2010
68,Champlin,24139.0,510.0,MINNESOTA7,,2010
69,Chaska,25424.0,398.0,MINNESOTA7,,2010
70,Chisholm,4559.0,177.0,MINNESOTA7,,2010
71,Cloquet,11486.0,454.0,MINNESOTA7,,2010
72,Cold Spring,5108.0,66.0,MINNESOTA7,,2010
73,Coon Rapids,62419.0,2709.0,MINNESOTA7,,2010
74,Corcoran,5749.0,38.0,MINNESOTA7,,2010
75,Cottage Grove,34276.0,566.0,MINNESOTA7,,2010
76,Crookston,7829.0,68.0,MINNESOTA7,,2010
77,Crosby,2245.0,23.0,MINNESOTA7,,2010
78,Crystal,21753.0,715.0,MINNESOTA7,,2010
79,Dawson,1323.0,18.0,MINNESOTA7,,2010
80,Dayton,4650.0,39.0,MINNESOTA7,,2010
81,Deephaven-Woodland,4339.0,17.0,MINNESOTA7,,2010
82,Detroit Lakes,8329.0,419.0,MINNESOTA7,,2010
83,Dilworth,3787.0,103.0,MINNESOTA7,,2010
84,Duluth2,84249.0,,MINNESOTA7,,2010
